2020-12-16,优,45,137,31,42,4,28,0.52,17
2020-12-17,优,42,100,29,40,4,33,0.56,21
2020-12-18,良,59,195,42,64,4,36,0.66,23
2020-12-19,良,64,188,45,72,7,46,0.66,21
2020-12-20,良,90,267,67,95,7,51,0.82,17
2020-12-21,轻度污染,108,285,81,110,6,56,1.00,15
2020-12-22,良,93,186,69,95,7,55,0.85,22
2020-12-23,轻度污染,122,273,92,123,6,52,0.90,23
2020-12-24,轻度污染,140,316,106,151,8,72,1.30,12
2020-12-25,轻度污染,134,323,102,154,8,59,1.05,7
2020-12-26,中度污染,183,337,139,187,5,61,1.14,13
2020-12-27,重度污染,225,354,176,253,7,69,1.55,6
2020-12-28,重度污染,238,338,188,249,7,58,1.41,6
2020-12-29,良,52,150,35,53,5,37,0.64,35
2020-12-30,良,62,338,40,71,7,50,0.68,15
2020-12-31,良,74,339,53,81,5,48,0.68,17
